iter	Accuracy	MultiClass
424	0.7037145565	0.5257178519
425	0.7039100783	0.5253904273
426	0.7040618392	0.5253360793
427	0.704155968	0.5253235086
428	0.7042124116	0.525314464
429	0.7041285095	0.5252965755
430	0.7041049078	0.5252023719
431	0.704210005	0.5246876246
432	0.7044797145	0.5246530049
433	0.7045106755	0.524617991
434	0.7041594898	0.5245992983
435	0.7042477939	0.524576254
436	0.7046375101	0.5240989002
437	0.7046579636	0.5240776486
438	0.704826531	0.5240600468
439	0.7048777848	0.5240455162
440	0.7052580918	0.524030977
441	0.7050464885	0.5239606633
442	0.7048914896	0.523936528
443	0.7053712514	0.5239121351
444	0.7057104986	0.5238864196
445	0.7058267437	0.5238320885
446	0.7054385078	0.5238078006
447	0.7055515013	0.5234479029
448	0.7060531067	0.5233683067
449	0.7061057343	0.5232442882
450	0.7057397672	0.5232055805
451	0.7057469331	0.5231909669
452	0.705830072	0.5231707207
453	0.7061403997	0.5230467846
454	0.7060026325	0.5230257071
455	0.706206146	0.5229499185
456	0.7060705158	0.522932477
457	0.7059276461	0.522411904
458	0.7062640258	0.5223459836
459	0.706383422	0.5218787043
460	0.7067722685	0.5218609502
461	0.7064683844	0.5218142205
462	0.7066001986	0.521796641
463	0.706473615	0.5216528721
464	0.7061739721	0.5216369319
465	0.706236979	0.5216284873
466	0.7061184526	0.521602584
467	0.7061486504	0.5215648224
468	0.7061579532	0.5215543844
469	0.7063495526	0.5215254278
470	0.7067303122	0.5212687542
471	0.7072390835	0.5212495
472	0.7071080325	0.5212127585
473	0.7072855892	0.5211985814
474	0.7072559691	0.5211651439
475	0.7075293419	0.5211489477
476	0.7074216446	0.5211287063
477	0.7078144351	0.5210658855
478	0.7079082505	0.5210345784
479	0.7078173352	0.5210075352
480	0.7080636992	0.5209951653
481	0.7083061109	0.5209489887
482	0.7077921499	0.5209175648
483	0.7074478166	0.520878405
484	0.7074499536	0.5208025389
485	0.7074244711	0.5207860136
486	0.7075247137	0.5207608647
487	0.7076130423	0.5207338339
488	0.7075703281	0.5206979087
489	0.7075985498	0.5206849954
490	0.7074286087	0.5206758091
491	0.7073659234	0.5206463385
492	0.707951559	0.5205850106
493	0.7081134103	0.5205680665
494	0.7085067161	0.5204252266
495	0.7082283144	0.5203954256
496	0.7082887102	0.5203548238
497	0.7090226287	0.5200490534
498	0.7088859464	0.5200352756
499	0.7091335233	0.519968268
500	0.7091992696	0.5198962601
501	0.7093280229	0.5198831025
502	0.7094047674	0.5196840295
503	0.7094003408	0.5196803092
